Month,Posting Date,No Of Trans,Settlement Currency,Settlement Amount,Terminal Capability,Clearing Service,Payment Product,Fee Tier,Region,Fee %,Base,Fee Maximum,Comm. Amt,FPI,Acquirer BIN/ICA,Geographical Location,Fee No.,CardType,Region,Assessments,Service Charge,Total Fees
2/28/15,8/2/15,2,CAD,150,"""eCommerce""",Clr Mastercard Int,All Services,General,Foreign - EEA,0.17,EUR 0.0250,0,0.34,  NN3,4441,Sub-Regional - Foreign - EEA,3853309999,Debit,Europe,0.23,1.35,1.92
2/28/15,11/2/15,1,CAD,200,"""eCommerce""",Clr Mastercard Int,Cl - MC Rewards,General,Foreign - EEA,0.18,EUR 0.0250,0,0.4,  BI6,4441,Sub-Regional - Foreign - EEA,500025667,Credit,Europe,0.3,0.68,1.37
2/28/15,11/2/15,1,CAD,118.13,"""eCommerce""",Clr Mastercard Int,Cl - EC Corp,General,Foreign - EEA,1.9,EUR 0.0000,0,2.25,  BJ8,4441,Sub-Regional - Foreign - EEA,3087861699,Credit,Europe,0.19,0.68,3.12
2/28/15,12/2/15,1,CAD,472.5,"""eCommerce""",Clr Mastercard Int,Cl - EC Corp,General,Foreign - EEA,1.9,EUR 0.0000,0,8.98,  BJ8,4441,Sub-Regional - Foreign - EEA,3087861699,Credit,Europe,0.64,0.68,10.29
2/28/15,12/2/15,1,CAD,-500,"""eCommerce""",Clr Mastercard Int,Clearing - MAST,General,Foreign - EEA,0.18,EUR 0.0250,0,-0.94,  BI6,4441,Sub-Regional - Foreign - EEA,500025660,Credit,Europe,-0.58,0.68,-0.85
2/28/15,13/02/2015,2,CAD,499.5,"""eCommerce""",Clr VISA Int.,Cl - Visa Platinum,Auth<4/CVV2/CNP,Foreign - EMEA,0.29,EUR 0.0200,0,1.49,  BU4,424469,Sub-Regional - Foreign - EEA,500047631,Credit,Europe,0.24,1.35,3.08
2/28/15,18/02/2015,1,CAD,836.43,"""eCommerce""",Clr VISA Int.,Clearing - VISA.,Auth<4/CVV2/CNP,Foreign - NEEA-EEA,0.29,EUR 0.0200,0,2.44,  59W,424469,Sub-Regional - Foreign - NEEA-EEA,500066001,Credit,Europe,0.38,0.68,3.5
2/28/15,18/02/2015,2,CAD,700,"""eCommerce""",Clr Mastercard Int,Clearing - MAST,General,Foreign - EEA,0.18,EUR 0.0250,0,1.33,  BI6,4441,Sub-Regional - Foreign - EEA,500025660,Credit,Europe,0.92,1.35,3.6
2/28/15,19/02/2015,1,CAD,-500,"""eCommerce""",Clr Mastercard Int,Clearing - MAST,General,Foreign - EEA,0.18,EUR 0.0250,0,-0.94,  BI6,4441,Sub-Regional - Foreign - EEA,500025660,Credit,Europe,-0.58,0.68,-0.85
2/28/15,19/02/2015,4,CAD,2813.12,"""eCommerce""",Clr VISA Int.,Clearing - VISA.,Auth<4/CVV2/CNP,Foreign - EMEA,0.29,EUR 0.0200,0,8.24,  BU4,424469,Sub-Regional - Foreign - EEA,500047639,Credit,Europe,1.22,2.7,12.16
